#timestep    time     time step  time step   maximum   -----time step location----     time step
#  number    (sec)      (sec)    cfl (sec)    error    eq_loc  i_loc  j_loc  k_loc      control
     1160  1.159E-06  1.000E-09  2.989E-08  2.333E-05       0      0      0      0   fixed timestep
     1180  1.179E-06  1.000E-09  2.990E-08  8.057E-06       0      0      0      0   fixed timestep
     1200  1.199E-06  1.000E-09  2.992E-08  1.385E-05       0      0      0      0   fixed timestep
     1220  1.219E-06  1.000E-09  2.994E-08  1.992E-05       0      0      0      0   fixed timestep
     1240  1.239E-06  1.000E-09  2.995E-08  7.083E-06       0      0      0      0   fixed timestep
     1260  1.259E-06  1.000E-09  2.997E-08  4.228E-05       0      0      0      0   fixed timestep
     1280  1.279E-06  1.000E-09  2.998E-08  6.472E-06       0      0      0      0   fixed timestep
     1300  1.299E-06  1.000E-09  3.000E-08  3.405E-06       0      0      0      0   fixed timestep
     1320  1.319E-06  1.000E-09  3.001E-08  9.164E-05       0      0      0      0   fixed timestep
     1340  1.339E-06  1.000E-09  3.002E-08  7.030E-06       0      0      0      0   fixed timestep
     1360  1.359E-06  1.000E-09  3.003E-08  1.280E-05       0      0      0      0   fixed timestep
     1380  1.379E-06  1.000E-09  3.004E-08  6.662E-06       0      0      0      0   fixed timestep
     1400  1.399E-06  1.000E-09  3.006E-08  1.659E-05       0      0      0      0   fixed timestep
     1420  1.419E-06  1.000E-09  3.005E-08  1.595E-04       0      0      0      0   fixed timestep
     1440  1.439E-06  1.000E-09  3.006E-08  5.541E-05       0      0      0      0   fixed timestep
     1460  1.459E-06  1.000E-09  3.009E-08  1.177E-04       0      0      0      0   fixed timestep
     1480  1.479E-06  1.000E-09  3.009E-08  1.070E-05       0      0      0      0   fixed timestep
     1500  1.499E-06  1.000E-09  3.010E-08  2.026E-06       0      0      0      0   fixed timestep
     1520  1.519E-06  1.000E-09  3.011E-08  2.361E-06       0      0      0      0   fixed timestep
     1540  1.539E-06  1.000E-09  3.013E-08  3.858E-05       0      0      0      0   fixed timestep
     1560  1.559E-06  1.000E-09  3.015E-08  6.348E-04       0      0      0      0   fixed timestep
     1580  1.579E-06  1.000E-09  3.017E-08  3.231E-05       0      0      0      0   fixed timestep
     1600  1.599E-06  1.000E-09  3.018E-08  1.266E-05       0      0      0      0   fixed timestep
     1620  1.619E-06  1.000E-09  3.019E-08  4.300E-06       0      0      0      0   fixed timestep
     1640  1.639E-06  1.000E-09  3.020E-08  4.957E-05       0      0      0      0   fixed timestep
     1660  1.659E-06  1.000E-09  3.021E-08  7.203E-05       0      0      0      0   fixed timestep
     1680  1.679E-06  1.000E-09  3.022E-08  7.598E-05       0      0      0      0   fixed timestep
     1700  1.699E-06  1.000E-09  3.023E-08  2.001E-06       0      0      0      0   fixed timestep
     1720  1.719E-06  1.000E-09  3.024E-08  5.607E-07       0      0      0      0   fixed timestep
     1740  1.739E-06  1.000E-09  3.025E-08  4.095E-06       0      0      0      0   fixed timestep
     1760  1.759E-06  1.000E-09  3.026E-08  1.790E-06       0      0      0      0   fixed timestep
     1780  1.779E-06  1.000E-09  3.027E-08  1.205E-05       0      0      0      0   fixed timestep
     1800  1.799E-06  1.000E-09  3.028E-08  4.025E-06       0      0      0      0   fixed timestep
     1820  1.819E-06  1.000E-09  3.029E-08  6.359E-06       0      0      0      0   fixed timestep
     1840  1.839E-06  1.000E-09  3.030E-08  8.632E-06       0      0      0      0   fixed timestep
     1860  1.859E-06  1.000E-09  3.031E-08  5.318E-05       0      0      0      0   fixed timestep
     1880  1.879E-06  1.000E-09  3.032E-08  9.232E-07       0      0      0      0   fixed timestep
     1900  1.899E-06  1.000E-09  3.033E-08  3.530E-05       0      0      0      0   fixed timestep
     1920  1.919E-06  1.000E-09  3.033E-08  3.823E-05       0      0      0      0   fixed timestep
     1940  1.939E-06  1.000E-09  3.034E-08  1.153E-06       0      0      0      0   fixed timestep
     1960  1.959E-06  1.000E-09  3.035E-08  7.730E-05       0      0      0      0   fixed timestep
     1980  1.979E-06  1.000E-09  3.036E-08  2.311E-05       0      0      0      0   fixed timestep
     2000  1.999E-06  1.000E-09  3.037E-08  2.646E-06       0      0      0      0   fixed timestep
     2020  2.019E-06  1.000E-09  3.037E-08  8.852E-06       0      0      0      0   fixed timestep
     2040  2.039E-06  1.000E-09  3.038E-08  1.724E-05       0      0      0      0   fixed timestep
     2060  2.059E-06  1.000E-09  3.039E-08  1.236E-05       0      0      0      0   fixed timestep
     2080  2.079E-06  1.000E-09  3.040E-08  1.592E-05       0      0      0      0   fixed timestep
     2100  2.099E-06  1.000E-09  3.040E-08  2.107E-06       0      0      0      0   fixed timestep
     2120  2.119E-06  1.000E-09  3.041E-08  1.210E-06       0      0      0      0   fixed timestep
     2140  2.139E-06  1.000E-09  3.042E-08  5.221E-07       0      0      0      0   fixed timestep
     2160  2.159E-06  1.000E-09  3.043E-08  9.722E-07       0      0      0      0   fixed timestep
     2180  2.179E-06  1.000E-09  3.043E-08  1.541E-05       0      0      0      0   fixed timestep
     2200  2.199E-06  1.000E-09  3.044E-08  4.565E-07       0      0      0      0   fixed timestep
     2220  2.219E-06  1.000E-09  3.045E-08  3.962E-06       0      0      0      0   fixed timestep
     2240  2.239E-06  1.000E-09  3.045E-08  2.989E-06       0      0      0      0   fixed timestep
     2260  2.259E-06  1.000E-09  3.046E-08  1.329E-05       0      0      0      0   fixed timestep
     2280  2.279E-06  1.000E-09  3.047E-08  2.573E-05       0      0      0      0   fixed timestep
     2300  2.299E-06  1.000E-09  3.047E-08  6.736E-06       0      0      0      0   fixed timestep
     2320  2.319E-06  1.000E-09  3.048E-08  2.110E-06       0      0      0      0   fixed timestep
     2340  2.339E-06  1.000E-09  3.049E-08  1.175E-05       0      0      0      0   fixed timestep
     2360  2.359E-06  1.000E-09  3.049E-08  4.785E-06       0      0      0      0   fixed timestep
     2380  2.379E-06  1.000E-09  3.050E-08  8.683E-07       0      0      0      0   fixed timestep
     2400  2.399E-06  1.000E-09  3.050E-08  1.706E-06       0      0      0      0   fixed timestep
     2420  2.419E-06  1.000E-09  3.051E-08  3.459E-06       0      0      0      0   fixed timestep
     2440  2.439E-06  1.000E-09  3.052E-08  1.198E-05       0      0      0      0   fixed timestep
     2460  2.459E-06  1.000E-09  3.052E-08  1.087E-06       0      0      0      0   fixed timestep
     2480  2.479E-06  1.000E-09  3.053E-08  6.594E-06       0      0      0      0   fixed timestep
     2500  2.499E-06  1.000E-09  3.054E-08  3.495E-06       0      0      0      0   fixed timestep
     2520  2.519E-06  1.000E-09  3.054E-08  8.381E-07       0      0      0      0   fixed timestep
     2540  2.539E-06  1.000E-09  3.055E-08  6.223E-06       0      0      0      0   fixed timestep
     2560  2.559E-06  1.000E-09  3.055E-08  3.448E-06       0      0      0      0   fixed timestep
     2580  2.579E-06  1.000E-09  3.056E-08  2.819E-06       0      0      0      0   fixed timestep
     2600  2.599E-06  1.000E-09  3.056E-08  1.648E-05       0      0      0      0   fixed timestep
     2620  2.619E-06  1.000E-09  3.057E-08  1.277E-05       0      0      0      0   fixed timestep
     2640  2.639E-06  1.000E-09  3.057E-08  3.349E-06       0      0      0      0   fixed timestep
     2660  2.659E-06  1.000E-09  3.058E-08  1.998E-06       0      0      0      0   fixed timestep
     2680  2.679E-06  1.000E-09  3.058E-08  5.911E-06       0      0      0      0   fixed timestep
     2700  2.699E-06  1.000E-09  3.059E-08  8.971E-07       0      0      0      0   fixed timestep
     2720  2.719E-06  1.000E-09  3.059E-08  7.820E-06       0      0      0      0   fixed timestep
     2740  2.739E-06  1.000E-09  3.060E-08  2.958E-05       0      0      0      0   fixed timestep
     2760  2.759E-06  1.000E-09  3.060E-08  5.585E-06       0      0      0      0   fixed timestep
     2780  2.779E-06  1.000E-09  3.060E-08  6.222E-07       0      0      0      0   fixed timestep
     2800  2.799E-06  1.000E-09  3.061E-08  3.908E-06       0      0      0      0   fixed timestep
     2820  2.819E-06  1.000E-09  3.061E-08  1.929E-06       0      0      0      0   fixed timestep
     2840  2.839E-06  1.000E-09  3.062E-08  1.019E-05       0      0      0      0   fixed timestep
     2860  2.859E-06  1.000E-09  3.062E-08  3.529E-06       0      0      0      0   fixed timestep
     2880  2.879E-06  1.000E-09  3.061E-08  8.688E-07       0      0      0      0   fixed timestep
     2900  2.899E-06  1.000E-09  3.061E-08  2.964E-04       0      0      0      0   fixed timestep
     2920  2.919E-06  1.000E-09  3.062E-08  3.779E-07       0      0      0      0   fixed timestep
     2940  2.939E-06  1.000E-09  3.064E-08  3.420E-05       0      0      0      0   fixed timestep
     2960  2.959E-06  1.000E-09  3.064E-08  8.082E-05       0      0      0      0   fixed timestep
     2980  2.979E-06  1.000E-09  3.064E-08  1.049E-06       0      0      0      0   fixed timestep
     3000  2.999E-06  1.000E-09  3.064E-08  8.196E-06       0      0      0      0   fixed timestep
     3020  3.019E-06  1.000E-09  3.065E-08  1.488E-06       0      0      0      0   fixed timestep
     3040  3.039E-06  1.000E-09  3.066E-08  2.748E-06       0      0      0      0   fixed timestep
     3060  3.059E-06  1.000E-09  3.066E-08  4.821E-06       0      0      0      0   fixed timestep
     3080  3.079E-06  1.000E-09  3.067E-08  2.343E-05       0      0      0      0   fixed timestep
     3100  3.099E-06  1.000E-09  3.068E-08  5.306E-06       0      0      0      0   fixed timestep
     3120  3.119E-06  1.000E-09  3.068E-08  1.860E-06       0      0      0      0   fixed timestep
     3140  3.139E-06  1.000E-09  3.069E-08  4.545E-06       0      0      0      0   fixed timestep
     3160  3.159E-06  1.000E-09  3.070E-08  1.734E-06       0      0      0      0   fixed timestep
     3180  3.179E-06  1.000E-09  3.070E-08  8.292E-06       0      0      0      0   fixed timestep
     3200  3.199E-06  1.000E-09  3.071E-08  9.226E-07       0      0      0      0   fixed timestep
     3220  3.219E-06  1.000E-09  3.071E-08  3.666E-07       0      0      0      0   fixed timestep
     3240  3.239E-06  1.000E-09  3.071E-08  3.797E-06       0      0      0      0   fixed timestep
     3260  3.259E-06  1.000E-09  3.072E-08  1.228E-06       0      0      0      0   fixed timestep
