# C01-i_time   C02-time     C03-u        C04-v        C05-w        C06-rho      C07-T        C08-P        C09-Mass     C10-X Mom    C11-Y Mom    C12-H2       C13-O2       C14-O        C15-OH       C16-H2O      C17-H        C18-HO2      C19-H2O2     C20-CO       C21-CO2      C22-HCO      C23-N2    
#              (sec)        (cm/s)       (cm/s)       (cm/s)       (g/cm^3)     (K)          (atm)        g/cm^3                                                                                                                                                                                          
       11100  1.110E-005  -6.764E+001   0.000E+000   0.000E+000   1.709E-004   1.920E+003   1.092E+000   1.775E+002  -2.906E-014   0.000E+000   1.267E-003   8.136E-002   2.413E-002   1.242E-002   4.684E-002   1.932E-003   1.181E-005   4.427E-006   1.520E-001   5.558E-002   1.011E-006   6.102E-001
       11200  1.120E-005  -6.925E+001   0.000E+000   0.000E+000   1.709E-004   1.925E+003   1.094E+000   1.775E+002  -2.906E-014   0.000E+000   1.270E-003   8.097E-002   2.418E-002   1.249E-002   4.674E-002   1.936E-003   1.173E-005   4.403E-006   1.513E-001   5.681E-002   1.007E-006   6.102E-001
       11300  1.130E-005  -6.671E+001   0.000E+000   0.000E+000   1.710E-004   1.930E+003   1.096E+000   1.775E+002  -2.409E-014   0.000E+000   1.274E-003   8.059E-002   2.422E-002   1.256E-002   4.664E-002   1.939E-003   1.165E-005   4.379E-006   1.506E-001   5.804E-002   1.002E-006   6.102E-001
       11400  1.140E-005  -6.170E+001   0.000E+000   0.000E+000   1.710E-004   1.934E+003   1.098E+000   1.775E+002  -2.268E-014   0.000E+000   1.278E-003   8.021E-002   2.426E-002   1.263E-002   4.654E-002   1.943E-003   1.157E-005   4.356E-006   1.499E-001   5.925E-002   9.976E-007   6.102E-001
       11500  1.150E-005  -9.027E+001   0.000E+000   0.000E+000   1.709E-004   1.939E+003   1.100E+000   1.775E+002  -2.339E-014   0.000E+000   1.283E-003   7.985E-002   2.429E-002   1.269E-002   4.644E-002   1.946E-003   1.150E-005   4.332E-006   1.492E-001   6.046E-002   9.931E-007   6.102E-001
       11600  1.160E-005  -9.004E+001   0.000E+000   0.000E+000   1.709E-004   1.943E+003   1.102E+000   1.775E+002  -1.524E-014   0.000E+000   1.287E-003   7.948E-002   2.432E-002   1.276E-002   4.634E-002   1.949E-003   1.142E-005   4.308E-006   1.486E-001   6.165E-002   9.886E-007   6.102E-001
       11700  1.170E-005  -8.072E+001   0.000E+000   0.000E+000   1.709E-004   1.947E+003   1.104E+000   1.775E+002  -1.346E-014   0.000E+000   1.292E-003   7.913E-002   2.435E-002   1.283E-002   4.625E-002   1.953E-003   1.134E-005   4.285E-006   1.479E-001   6.283E-002   9.842E-007   6.102E-001
       11800  1.180E-005  -7.133E+001   0.000E+000   0.000E+000   1.709E-004   1.951E+003   1.105E+000   1.775E+002  -2.339E-014   0.000E+000   1.296E-003   7.878E-002   2.438E-002   1.289E-002   4.616E-002   1.956E-003   1.127E-005   4.261E-006   1.473E-001   6.400E-002   9.798E-007   6.102E-001
       11900  1.190E-005  -5.559E+001   0.000E+000   0.000E+000   1.709E-004   1.956E+003   1.107E+000   1.775E+002  -2.126E-014   0.000E+000   1.301E-003   7.843E-002   2.440E-002   1.296E-002   4.606E-002   1.959E-003   1.120E-005   4.238E-006   1.466E-001   6.516E-002   9.755E-007   6.102E-001
       12000  1.200E-005  -4.772E+001   0.000E+000   0.000E+000   1.710E-004   1.960E+003   1.109E+000   1.775E+002  -2.409E-014   0.000E+000   1.306E-003   7.809E-002   2.442E-002   1.302E-002   4.597E-002   1.962E-003   1.113E-005   4.215E-006   1.460E-001   6.630E-002   9.712E-007   6.102E-001
       12100  1.210E-005  -3.999E+001   0.000E+000   0.000E+000   1.710E-004   1.964E+003   1.111E+000   1.775E+002  -2.551E-014   0.000E+000   1.311E-003   7.776E-002   2.445E-002   1.309E-002   4.589E-002   1.965E-003   1.106E-005   4.191E-006   1.454E-001   6.743E-002   9.669E-007   6.102E-001
       12200  1.220E-005  -5.002E+001   0.000E+000   0.000E+000   1.710E-004   1.968E+003   1.112E+000   1.775E+002  -2.480E-014   0.000E+000   1.316E-003   7.743E-002   2.446E-002   1.315E-002   4.580E-002   1.968E-003   1.099E-005   4.168E-006   1.448E-001   6.855E-002   9.627E-007   6.102E-001
       12300  1.230E-005  -6.354E+001   0.000E+000   0.000E+000   1.710E-004   1.973E+003   1.114E+000   1.775E+002  -2.693E-014   0.000E+000   1.320E-003   7.710E-002   2.448E-002   1.322E-002   4.572E-002   1.970E-003   1.092E-005   4.145E-006   1.442E-001   6.966E-002   9.586E-007   6.102E-001
       12400  1.240E-005  -6.767E+001   0.000E+000   0.000E+000   1.711E-004   1.977E+003   1.116E+000   1.775E+002  -2.551E-014   0.000E+000   1.325E-003   7.678E-002   2.450E-002   1.328E-002   4.564E-002   1.973E-003   1.086E-005   4.122E-006   1.436E-001   7.075E-002   9.546E-007   6.102E-001
       12500  1.250E-005  -6.570E+001   0.000E+000   0.000E+000   1.711E-004   1.981E+003   1.118E+000   1.775E+002  -2.835E-014   0.000E+000   1.330E-003   7.647E-002   2.451E-002   1.335E-002   4.556E-002   1.975E-003   1.079E-005   4.099E-006   1.430E-001   7.183E-002   9.507E-007   6.102E-001
       12600  1.260E-005  -9.079E+001   0.000E+000   0.000E+000   1.711E-004   1.985E+003   1.120E+000   1.775E+002  -2.126E-014   0.000E+000   1.335E-003   7.616E-002   2.453E-002   1.341E-002   4.548E-002   1.978E-003   1.073E-005   4.078E-006   1.424E-001   7.289E-002   9.465E-007   6.102E-001
       12700  1.270E-005  -1.043E+002   0.000E+000   0.000E+000   1.711E-004   1.989E+003   1.122E+000   1.775E+002  -2.126E-014   0.000E+000   1.340E-003   7.585E-002   2.454E-002   1.347E-002   4.540E-002   1.980E-003   1.066E-005   4.056E-006   1.419E-001   7.394E-002   9.423E-007   6.102E-001
       12800  1.280E-005  -1.093E+002   0.000E+000   0.000E+000   1.711E-004   1.993E+003   1.124E+000   1.775E+002  -2.693E-014   0.000E+000   1.344E-003   7.556E-002   2.455E-002   1.353E-002   4.533E-002   1.982E-003   1.060E-005   4.034E-006   1.413E-001   7.498E-002   9.383E-007   6.102E-001
       12900  1.290E-005  -1.173E+002   0.000E+000   0.000E+000   1.711E-004   1.997E+003   1.126E+000   1.775E+002  -2.551E-014   0.000E+000   1.349E-003   7.526E-002   2.456E-002   1.359E-002   4.526E-002   1.984E-003   1.054E-005   4.011E-006   1.408E-001   7.600E-002   9.343E-007   6.102E-001
       13000  1.300E-005  -1.166E+002   0.000E+000   0.000E+000   1.712E-004   2.001E+003   1.128E+000   1.775E+002  -2.835E-014   0.000E+000   1.353E-003   7.498E-002   2.457E-002   1.366E-002   4.519E-002   1.985E-003   1.048E-005   3.989E-006   1.403E-001   7.700E-002   9.304E-007   6.102E-001
       13100  1.310E-005  -1.333E+002   0.000E+000   0.000E+000   1.712E-004   2.005E+003   1.129E+000   1.775E+002  -2.551E-014   0.000E+000   1.358E-003   7.469E-002   2.458E-002   1.372E-002   4.512E-002   1.987E-003   1.042E-005   3.967E-006   1.398E-001   7.800E-002   9.266E-007   6.102E-001
       13200  1.320E-005  -1.441E+002   0.000E+000   0.000E+000   1.712E-004   2.009E+003   1.131E+000   1.775E+002  -2.409E-014   0.000E+000   1.362E-003   7.442E-002   2.458E-002   1.377E-002   4.506E-002   1.989E-003   1.036E-005   3.945E-006   1.393E-001   7.897E-002   9.228E-007   6.102E-001
       13300  1.330E-005  -1.446E+002   0.000E+000   0.000E+000   1.713E-004   2.013E+003   1.133E+000   1.775E+002  -3.969E-014   0.000E+000   1.367E-003   7.414E-002   2.459E-002   1.383E-002   4.500E-002   1.990E-003   1.031E-005   3.924E-006   1.388E-001   7.993E-002   9.190E-007   6.102E-001
       13400  1.340E-005  -1.422E+002   0.000E+000   0.000E+000   1.713E-004   2.017E+003   1.135E+000   1.775E+002  -6.094E-014   0.000E+000   1.371E-003   7.388E-002   2.459E-002   1.389E-002   4.493E-002   1.991E-003   1.025E-005   3.902E-006   1.383E-001   8.087E-002   9.153E-007   6.102E-001
       13500  1.350E-005  -1.259E+002   0.000E+000   0.000E+000   1.714E-004   2.021E+003   1.137E+000   1.775E+002  -4.819E-014   0.000E+000   1.375E-003   7.361E-002   2.459E-002   1.395E-002   4.488E-002   1.992E-003   1.020E-005   3.880E-006   1.378E-001   8.180E-002   9.119E-007   6.103E-001
       13600  1.360E-005  -1.153E+002   0.000E+000   0.000E+000   1.715E-004   2.025E+003   1.138E+000   1.775E+002  -4.677E-014   0.000E+000   1.380E-003   7.335E-002   2.460E-002   1.401E-002   4.482E-002   1.992E-003   1.015E-005   3.859E-006   1.373E-001   8.271E-002   9.084E-007   6.103E-001
       13700  1.370E-005  -1.118E+002   0.000E+000   0.000E+000   1.715E-004   2.029E+003   1.140E+000   1.775E+002  -4.535E-014   0.000E+000   1.384E-003   7.310E-002   2.460E-002   1.407E-002   4.477E-002   1.993E-003   1.010E-005   3.839E-006   1.369E-001   8.361E-002   9.046E-007   6.103E-001
       13800  1.380E-005  -1.091E+002   0.000E+000   0.000E+000   1.715E-004   2.032E+003   1.141E+000   1.775E+002  -5.386E-014   0.000E+000   1.388E-003   7.285E-002   2.460E-002   1.412E-002   4.472E-002   1.993E-003   1.004E-005   3.819E-006   1.364E-001   8.449E-002   9.008E-007   6.103E-001
       13900  1.390E-005  -1.050E+002   0.000E+000   0.000E+000   1.715E-004   2.036E+003   1.143E+000   1.775E+002  -5.386E-014   0.000E+000   1.392E-003   7.261E-002   2.459E-002   1.418E-002   4.467E-002   1.993E-003   9.993E-006   3.798E-006   1.360E-001   8.535E-002   8.971E-007   6.103E-001
       14000  1.400E-005  -9.209E+001   0.000E+000   0.000E+000   1.715E-004   2.040E+003   1.145E+000   1.775E+002  -5.386E-014   0.000E+000   1.396E-003   7.238E-002   2.459E-002   1.423E-002   4.462E-002   1.993E-003   9.943E-006   3.777E-006   1.356E-001   8.620E-002   8.935E-007   6.103E-001
       14100  1.410E-005  -8.499E+001   0.000E+000   0.000E+000   1.715E-004   2.044E+003   1.146E+000   1.775E+002  -5.244E-014   0.000E+000   1.399E-003   7.215E-002   2.459E-002   1.429E-002   4.457E-002   1.993E-003   9.894E-006   3.757E-006   1.352E-001   8.704E-002   8.899E-007   6.103E-001
       14200  1.420E-005  -7.550E+001   0.000E+000   0.000E+000   1.716E-004   2.048E+003   1.148E+000   1.775E+002  -4.819E-014   0.000E+000   1.403E-003   7.192E-002   2.458E-002   1.434E-002   4.453E-002   1.992E-003   9.846E-006   3.736E-006   1.348E-001   8.785E-002   8.863E-007   6.103E-001
       14300  1.430E-005  -6.937E+001   0.000E+000   0.000E+000   1.716E-004   2.051E+003   1.150E+000   1.775E+002  -3.969E-014   0.000E+000   1.407E-003   7.170E-002   2.458E-002   1.440E-002   4.449E-002   1.991E-003   9.799E-006   3.716E-006   1.344E-001   8.865E-002   8.828E-007   6.103E-001
       14400  1.440E-005  -6.807E+001   0.000E+000   0.000E+000   1.716E-004   2.055E+003   1.151E+000   1.775E+002  -3.402E-014   0.000E+000   1.410E-003   7.148E-002   2.457E-002   1.445E-002   4.445E-002   1.991E-003   9.752E-006   3.696E-006   1.340E-001   8.944E-002   8.793E-007   6.103E-001
       14500  1.450E-005  -8.174E+001   0.000E+000   0.000E+000   1.716E-004   2.059E+003   1.153E+000   1.775E+002  -3.969E-014   0.000E+000   1.414E-003   7.127E-002   2.457E-002   1.450E-002   4.442E-002   1.990E-003   9.707E-006   3.676E-006   1.336E-001   9.020E-002   8.759E-007   6.103E-001
       14600  1.460E-005  -8.584E+001   0.000E+000   0.000E+000   1.716E-004   2.063E+003   1.155E+000   1.775E+002  -4.110E-014   0.000E+000   1.417E-003   7.106E-002   2.456E-002   1.456E-002   4.438E-002   1.989E-003   9.663E-006   3.656E-006   1.333E-001   9.096E-002   8.725E-007   6.103E-001
       14700  1.470E-005  -1.048E+002   0.000E+000   0.000E+000   1.716E-004   2.067E+003   1.156E+000   1.775E+002  -5.244E-014   0.000E+000   1.421E-003   7.086E-002   2.455E-002   1.462E-002   4.435E-002   1.987E-003   9.619E-006   3.637E-006   1.329E-001   9.169E-002   8.690E-007   6.103E-001
       14800  1.480E-005  -1.231E+002   0.000E+000   0.000E+000   1.716E-004   2.070E+003   1.158E+000   1.775E+002  -4.394E-014   0.000E+000   1.424E-003   7.066E-002   2.454E-002   1.467E-002   4.432E-002   1.986E-003   9.575E-006   3.618E-006   1.326E-001   9.242E-002   8.655E-007   6.103E-001
       14900  1.490E-005  -1.260E+002   0.000E+000   0.000E+000   1.716E-004   2.074E+003   1.160E+000   1.775E+002  -5.669E-014   0.000E+000   1.427E-003   7.047E-002   2.453E-002   1.472E-002   4.429E-002   1.984E-003   9.533E-006   3.598E-006   1.322E-001   9.312E-002   8.621E-007   6.103E-001
       15000  1.500E-005  -1.235E+002   0.000E+000   0.000E+000   1.716E-004   2.077E+003   1.162E+000   1.775E+002  -6.094E-014   0.000E+000   1.430E-003   7.028E-002   2.452E-002   1.477E-002   4.427E-002   1.982E-003   9.491E-006   3.579E-006   1.319E-001   9.381E-002   8.587E-007   6.103E-001
       15100  1.510E-005  -1.136E+002   0.000E+000   0.000E+000   1.716E-004   2.081E+003   1.163E+000   1.775E+002  -5.386E-014   0.000E+000   1.433E-003   7.010E-002   2.450E-002   1.482E-002   4.424E-002   1.980E-003   9.450E-006   3.560E-006   1.316E-001   9.449E-002   8.554E-007   6.103E-001
       15200  1.520E-005  -1.062E+002   0.000E+000   0.000E+000   1.716E-004   2.085E+003   1.165E+000   1.775E+002  -5.102E-014   0.000E+000   1.436E-003   6.992E-002   2.449E-002   1.487E-002   4.422E-002   1.978E-003   9.410E-006   3.541E-006   1.313E-001   9.515E-002   8.521E-007   6.103E-001
       15300  1.530E-005  -1.026E+002   0.000E+000   0.000E+000   1.715E-004   2.088E+003   1.166E+000   1.775E+002  -7.228E-014   0.000E+000   1.439E-003   6.975E-002   2.448E-002   1.492E-002   4.420E-002   1.975E-003   9.371E-006   3.522E-006   1.309E-001   9.579E-002   8.488E-007   6.103E-001
       15400  1.540E-005  -9.676E+001   0.000E+000   0.000E+000   1.715E-004   2.092E+003   1.168E+000   1.775E+002  -7.512E-014   0.000E+000   1.442E-003   6.957E-002   2.446E-002   1.497E-002   4.418E-002   1.973E-003   9.333E-006   3.504E-006   1.307E-001   9.642E-002   8.456E-007   6.103E-001
       15500  1.550E-005  -9.167E+001   0.000E+000   0.000E+000   1.715E-004   2.095E+003   1.169E+000   1.775E+002  -7.228E-014   0.000E+000   1.444E-003   6.941E-002   2.445E-002   1.502E-002   4.417E-002   1.970E-003   9.295E-006   3.485E-006   1.304E-001   9.703E-002   8.425E-007   6.103E-001
       15600  1.560E-005  -7.933E+001   0.000E+000   0.000E+000   1.716E-004   2.099E+003   1.170E+000   1.775E+002  -6.945E-014   0.000E+000   1.447E-003   6.924E-002   2.443E-002   1.507E-002   4.415E-002   1.967E-003   9.259E-006   3.466E-006   1.301E-001   9.763E-002   8.394E-007   6.103E-001
       15700  1.570E-005  -5.951E+001   0.000E+000   0.000E+000   1.716E-004   2.102E+003   1.172E+000   1.775E+002  -7.512E-014   0.000E+000   1.449E-003   6.908E-002   2.441E-002   1.512E-002   4.414E-002   1.964E-003   9.223E-006   3.448E-006   1.298E-001   9.822E-002   8.364E-007   6.103E-001
       15800  1.580E-005  -6.749E+001   0.000E+000   0.000E+000   1.716E-004   2.106E+003   1.173E+000   1.775E+002  -6.945E-014   0.000E+000   1.452E-003   6.893E-002   2.439E-002   1.517E-002   4.413E-002   1.961E-003   9.188E-006   3.430E-006   1.295E-001   9.879E-002   8.333E-007   6.103E-001
       15900  1.590E-005  -7.745E+001   0.000E+000   0.000E+000   1.716E-004   2.109E+003   1.174E+000   1.775E+002  -7.228E-014   0.000E+000   1.454E-003   6.878E-002   2.437E-002   1.521E-002   4.412E-002   1.958E-003   9.153E-006   3.413E-006   1.293E-001   9.934E-002   8.302E-007   6.103E-001
       16000  1.600E-005  -8.113E+001   0.000E+000   0.000E+000   1.716E-004   2.113E+003   1.176E+000   1.775E+002  -7.795E-014   0.000E+000   1.457E-003   6.863E-002   2.436E-002   1.526E-002   4.411E-002   1.955E-003   9.119E-006   3.395E-006   1.290E-001   9.988E-002   8.271E-007   6.103E-001
       16100  1.610E-005  -8.757E+001   0.000E+000   0.000E+000   1.716E-004   2.116E+003   1.177E+000   1.775E+002  -7.654E-014   0.000E+000   1.459E-003   6.848E-002   2.434E-002   1.530E-002   4.411E-002   1.952E-003   9.086E-006   3.377E-006   1.288E-001   1.004E-001   8.241E-007   6.103E-001
       16200  1.620E-005  -8.859E+001   0.000E+000   0.000E+000   1.716E-004   2.119E+003   1.179E+000   1.775E+002  -7.087E-014   0.000E+000   1.461E-003   6.834E-002   2.431E-002   1.535E-002   4.410E-002   1.949E-003   9.053E-006   3.360E-006   1.286E-001   1.009E-001   8.212E-007   6.103E-001
       16300  1.630E-005  -1.001E+002   0.000E+000   0.000E+000   1.716E-004   2.123E+003   1.180E+000   1.775E+002  -7.087E-014   0.000E+000   1.463E-003   6.821E-002   2.429E-002   1.539E-002   4.410E-002   1.945E-003   9.022E-006   3.342E-006   1.283E-001   1.014E-001   8.184E-007   6.103E-001
       16400  1.640E-005  -1.122E+002   0.000E+000   0.000E+000   1.716E-004   2.126E+003   1.182E+000   1.775E+002  -7.228E-014   0.000E+000   1.465E-003   6.807E-002   2.427E-002   1.544E-002   4.410E-002   1.942E-003   8.991E-006   3.325E-006   1.281E-001   1.019E-001   8.155E-007   6.103E-001
       16500  1.650E-005  -1.170E+002   0.000E+000   0.000E+000   1.717E-004   2.129E+003   1.183E+000   1.775E+002  -7.654E-014   0.000E+000   1.467E-003   6.794E-002   2.425E-002   1.548E-002   4.410E-002   1.938E-003   8.961E-006   3.307E-006   1.279E-001   1.024E-001   8.127E-007   6.103E-001
       16600  1.660E-005  -1.179E+002   0.000E+000   0.000E+000   1.717E-004   2.132E+003   1.185E+000   1.775E+002  -6.236E-014   0.000E+000   1.469E-003   6.781E-002   2.422E-002   1.552E-002   4.410E-002   1.934E-003   8.932E-006   3.290E-006   1.277E-001   1.028E-001   8.100E-007   6.103E-001
       16700  1.670E-005  -1.098E+002   0.000E+000   0.000E+000   1.718E-004   2.136E+003   1.187E+000   1.775E+002  -6.520E-014   0.000E+000   1.471E-003   6.768E-002   2.420E-002   1.557E-002   4.411E-002   1.930E-003   8.904E-006   3.273E-006   1.275E-001   1.033E-001   8.075E-007   6.103E-001
       16800  1.680E-005  -1.015E+002   0.000E+000   0.000E+000   1.719E-004   2.139E+003   1.188E+000   1.775E+002  -6.378E-014   0.000E+000   1.472E-003   6.756E-002   2.418E-002   1.561E-002   4.411E-002   1.926E-003   8.878E-006   3.256E-006   1.273E-001   1.037E-001   8.049E-007   6.103E-001
       16900  1.690E-005  -1.082E+002   0.000E+000   0.000E+000   1.719E-004   2.142E+003   1.190E+000   1.775E+002  -6.520E-014   0.000E+000   1.474E-003   6.744E-002   2.415E-002   1.565E-002   4.412E-002   1.922E-003   8.850E-006   3.240E-006   1.271E-001   1.042E-001   8.022E-007   6.103E-001
       17000  1.700E-005  -1.113E+002   0.000E+000   0.000E+000   1.719E-004   2.145E+003   1.191E+000   1.775E+002  -6.094E-014   0.000E+000   1.475E-003   6.732E-002   2.412E-002   1.569E-002   4.412E-002   1.918E-003   8.822E-006   3.224E-006   1.269E-001   1.046E-001   7.994E-007   6.103E-001
       17100  1.710E-005  -1.086E+002   0.000E+000   0.000E+000   1.719E-004   2.148E+003   1.192E+000   1.775E+002  -6.945E-014   0.000E+000   1.477E-003   6.721E-002   2.410E-002   1.573E-002   4.413E-002   1.914E-003   8.795E-006   3.208E-006   1.267E-001   1.050E-001   7.966E-007   6.103E-001
       17200  1.720E-005  -9.911E+001   0.000E+000   0.000E+000   1.719E-004   2.151E+003   1.193E+000   1.775E+002  -6.661E-014   0.000E+000   1.478E-003   6.710E-002   2.407E-002   1.577E-002   4.414E-002   1.910E-003   8.769E-006   3.191E-006   1.266E-001   1.054E-001   7.940E-007   6.103E-001
       17300  1.730E-005  -8.319E+001   0.000E+000   0.000E+000   1.719E-004   2.154E+003   1.194E+000   1.775E+002  -6.732E-014   0.000E+000   1.480E-003   6.699E-002   2.404E-002   1.581E-002   4.415E-002   1.906E-003   8.743E-006   3.175E-006   1.264E-001   1.057E-001   7.913E-007   6.103E-001
       17400  1.740E-005  -6.773E+001   0.000E+000   0.000E+000   1.719E-004   2.157E+003   1.196E+000   1.775E+002  -6.449E-014   0.000E+000   1.481E-003   6.689E-002   2.402E-002   1.585E-002   4.417E-002   1.902E-003   8.718E-006   3.159E-006   1.262E-001   1.061E-001   7.887E-007   6.103E-001
       17500  1.750E-005  -5.776E+001   0.000E+000   0.000E+000   1.720E-004   2.160E+003   1.197E+000   1.775E+002  -6.094E-014   0.000E+000   1.482E-003   6.679E-002   2.399E-002   1.589E-002   4.418E-002   1.897E-003   8.693E-006   3.143E-006   1.261E-001   1.064E-001   7.861E-007   6.103E-001
       17600  1.760E-005  -4.880E+001   0.000E+000   0.000E+000   1.720E-004   2.163E+003   1.198E+000   1.775E+002  -6.378E-014   0.000E+000   1.483E-003   6.669E-002   2.396E-002   1.592E-002   4.419E-002   1.893E-003   8.669E-006   3.127E-006   1.259E-001   1.068E-001   7.835E-007   6.103E-001
       17700  1.770E-005  -3.830E+001   0.000E+000   0.000E+000   1.720E-004   2.166E+003   1.199E+000   1.775E+002  -6.449E-014   0.000E+000   1.485E-003   6.659E-002   2.393E-002   1.596E-002   4.421E-002   1.888E-003   8.645E-006   3.111E-006   1.258E-001   1.071E-001   7.810E-007   6.103E-001
       17800  1.780E-005  -2.448E+001   0.000E+000   0.000E+000   1.721E-004   2.169E+003   1.201E+000   1.775E+002  -5.953E-014   0.000E+000   1.486E-003   6.650E-002   2.390E-002   1.600E-002   4.423E-002   1.884E-003   8.622E-006   3.096E-006   1.257E-001   1.074E-001   7.785E-007   6.103E-001
       17900  1.790E-005  -3.441E+001   0.000E+000   0.000E+000   1.721E-004   2.172E+003   1.202E+000   1.775E+002  -5.882E-014   0.000E+000   1.487E-003   6.640E-002   2.387E-002   1.604E-002   4.425E-002   1.879E-003   8.599E-006   3.081E-006   1.255E-001   1.078E-001   7.760E-007   6.103E-001
       18000  1.800E-005  -5.603E+001   0.000E+000   0.000E+000   1.720E-004   2.175E+003   1.203E+000   1.775E+002  -6.094E-014   0.000E+000   1.488E-003   6.632E-002   2.384E-002   1.608E-002   4.427E-002   1.875E-003   8.576E-006   3.066E-006   1.254E-001   1.081E-001   7.734E-007   6.103E-001
       18100  1.810E-005  -6.424E+001   0.000E+000   0.000E+000   1.720E-004   2.178E+003   1.205E+000   1.775E+002  -5.740E-014   0.000E+000   1.489E-003   6.623E-002   2.381E-002   1.611E-002   4.429E-002   1.870E-003   8.553E-006   3.051E-006   1.253E-001   1.084E-001   7.708E-007   6.103E-001
       18200  1.820E-005  -6.949E+001   0.000E+000   0.000E+000   1.720E-004   2.181E+003   1.206E+000   1.775E+002  -5.740E-014   0.000E+000   1.489E-003   6.615E-002   2.378E-002   1.615E-002   4.431E-002   1.866E-003   8.531E-006   3.036E-006   1.251E-001   1.086E-001   7.682E-007   6.103E-001
       18300  1.830E-005  -6.800E+001   0.000E+000   0.000E+000   1.720E-004   2.184E+003   1.208E+000   1.775E+002  -5.457E-014   0.000E+000   1.490E-003   6.606E-002   2.375E-002   1.619E-002   4.433E-002   1.861E-003   8.510E-006   3.021E-006   1.250E-001   1.089E-001   7.657E-007   6.103E-001
       18400  1.840E-005  -7.518E+001   0.000E+000   0.000E+000   1.720E-004   2.187E+003   1.209E+000   1.775E+002  -5.244E-014   0.000E+000   1.491E-003   6.598E-002   2.372E-002   1.622E-002   4.435E-002   1.856E-003   8.488E-006   3.006E-006   1.249E-001   1.092E-001   7.632E-007   6.103E-001
       18500  1.850E-005  -9.068E+001   0.000E+000   0.000E+000   1.720E-004   2.190E+003   1.211E+000   1.775E+002  -5.244E-014   0.000E+000   1.492E-003   6.591E-002   2.368E-002   1.626E-002   4.438E-002   1.852E-003   8.467E-006   2.991E-006   1.248E-001   1.094E-001   7.607E-007   6.103E-001
       18600  1.860E-005  -9.520E+001   0.000E+000   0.000E+000   1.720E-004   2.193E+003   1.212E+000   1.775E+002  -5.244E-014   0.000E+000   1.492E-003   6.583E-002   2.365E-002   1.629E-002   4.440E-002   1.847E-003   8.447E-006   2.976E-006   1.247E-001   1.097E-001   7.582E-007   6.103E-001
       18700  1.870E-005  -9.470E+001   0.000E+000   0.000E+000   1.720E-004   2.196E+003   1.213E+000   1.775E+002  -5.953E-014   0.000E+000   1.493E-003   6.576E-002   2.362E-002   1.633E-002   4.442E-002   1.842E-003   8.427E-006   2.962E-006   1.246E-001   1.099E-001   7.558E-007   6.103E-001
       18800  1.880E-005  -8.736E+001   0.000E+000   0.000E+000   1.720E-004   2.199E+003   1.214E+000   1.775E+002  -5.244E-014   0.000E+000   1.494E-003   6.568E-002   2.359E-002   1.637E-002   4.444E-002   1.837E-003   8.407E-006   2.947E-006   1.245E-001   1.102E-001   7.534E-007   6.103E-001
       18900  1.890E-005  -7.539E+001   0.000E+000   0.000E+000   1.720E-004   2.202E+003   1.216E+000   1.775E+002  -5.386E-014   0.000E+000   1.494E-003   6.561E-002   2.355E-002   1.640E-002   4.446E-002   1.832E-003   8.388E-006   2.933E-006   1.244E-001   1.104E-001   7.510E-007   6.103E-001
       19000  1.900E-005  -6.938E+001   0.000E+000   0.000E+000   1.719E-004   2.205E+003   1.217E+000   1.775E+002  -5.244E-014   0.000E+000   1.495E-003   6.554E-002   2.352E-002   1.644E-002   4.449E-002   1.828E-003   8.369E-006   2.919E-006   1.242E-001   1.106E-001   7.486E-007   6.103E-001
       19100  1.910E-005  -6.484E+001   0.000E+000   0.000E+000   1.719E-004   2.207E+003   1.218E+000   1.775E+002  -5.244E-014   0.000E+000   1.495E-003   6.548E-002   2.349E-002   1.647E-002   4.451E-002   1.823E-003   8.350E-006   2.905E-006   1.241E-001   1.108E-001   7.461E-007   6.103E-001
       19200  1.920E-005  -6.169E+001   0.000E+000   0.000E+000   1.719E-004   2.210E+003   1.219E+000   1.775E+002  -5.386E-014   0.000E+000   1.495E-003   6.541E-002   2.345E-002   1.651E-002   4.454E-002   1.818E-003   8.331E-006   2.891E-006   1.240E-001   1.110E-001   7.438E-007   6.103E-001
       19300  1.930E-005  -5.115E+001   0.000E+000   0.000E+000   1.719E-004   2.213E+003   1.220E+000   1.775E+002  -5.811E-014   0.000E+000   1.496E-003   6.535E-002   2.342E-002   1.654E-002   4.457E-002   1.813E-003   8.313E-006   2.877E-006   1.238E-001   1.112E-001   7.414E-007   6.103E-001
       19400  1.940E-005  -4.069E+001   0.000E+000   0.000E+000   1.719E-004   2.216E+003   1.221E+000   1.775E+002  -5.669E-014   0.000E+000   1.496E-003   6.528E-002   2.338E-002   1.657E-002   4.459E-002   1.808E-003   8.296E-006   2.863E-006   1.237E-001   1.113E-001   7.391E-007   6.103E-001
       19500  1.950E-005  -5.651E+001   0.000E+000   0.000E+000   1.719E-004   2.218E+003   1.222E+000   1.775E+002  -5.669E-014   0.000E+000   1.496E-003   6.522E-002   2.335E-002   1.660E-002   4.462E-002   1.803E-003   8.279E-006   2.849E-006   1.236E-001   1.115E-001   7.368E-007   6.103E-001
       19600  1.960E-005  -6.940E+001   0.000E+000   0.000E+000   1.719E-004   2.221E+003   1.223E+000   1.775E+002  -5.386E-014   0.000E+000   1.497E-003   6.516E-002   2.332E-002   1.663E-002   4.465E-002   1.798E-003   8.262E-006   2.835E-006   1.235E-001   1.116E-001   7.345E-007   6.103E-001
