# C01-i_time   C02-time     C03-u        C04-v        C05-w        C06-rho      C07-T        C08-P        C09-Mass     C10-X Mom    C11-Y Mom    C12-H2       C13-O2       C14-O        C15-OH       C16-H2O      C17-H        C18-HO2      C19-H2O2     C20-CO       C21-CO2      C22-HCO      C23-N2    
#              (sec)        (cm/s)       (cm/s)       (cm/s)       (g/cm^3)     (K)          (atm)        g/cm^3                                                                                                                                                                                          
         900  9.000E-007  -2.240E+002   0.000E+000   0.000E+000   2.414E-004   9.699E+002   9.988E-001   2.893E+002  -1.169E-014   0.000E+000   9.346E-003   1.854E-001   2.644E-011   3.754E-012   3.146E-012   2.305E-012   1.399E-011   8.173E-016   1.948E-001   5.427E-011   9.567E-015   6.104E-001
        1000  1.000E-006  -2.123E+002   0.000E+000   0.000E+000   2.432E-004   9.751E+002   9.988E-001   2.893E+002  -8.858E-015   0.000E+000   9.346E-003   1.854E-001   3.042E-011   4.606E-012   4.430E-012   2.803E-012   1.725E-011   1.157E-015   1.948E-001   6.559E-011   1.174E-014   6.104E-001
        1100  1.100E-006  -1.993E+002   0.000E+000   0.000E+000   2.447E-004   9.796E+002   9.988E-001   2.893E+002  -4.252E-015   0.000E+000   9.346E-003   1.854E-001   3.455E-011   5.525E-012   6.021E-012   3.345E-012   2.093E-011   1.549E-015   1.948E-001   7.793E-011   1.414E-014   6.104E-001
        1200  1.200E-006  -1.852E+002   0.000E+000   0.000E+000   2.461E-004   9.837E+002   9.991E-001   2.893E+002  -1.772E-015   0.000E+000   9.346E-003   1.854E-001   3.880E-011   6.502E-012   7.881E-012   3.922E-012   2.502E-011   2.039E-015   1.948E-001   9.145E-011   1.676E-014   6.104E-001
        1300  1.300E-006  -1.957E+002   0.000E+000   0.000E+000   2.474E-004   9.875E+002   9.991E-001   2.893E+002   2.835E-015   0.000E+000   9.346E-003   1.854E-001   4.314E-011   7.530E-012   9.916E-012   4.543E-012   2.950E-011   2.633E-015   1.948E-001   1.034E-010   1.959E-014   6.104E-001
        1400  1.400E-006  -1.565E+002   0.000E+000   0.000E+000   2.487E-004   9.914E+002   9.991E-001   2.893E+002   9.213E-015   0.000E+000   9.346E-003   1.854E-001   4.755E-011   8.605E-012   1.229E-011   5.189E-012   3.435E-011   3.240E-015   1.948E-001   1.158E-010   2.264E-014   6.104E-001
        1500  1.500E-006  -1.508E+002   0.000E+000   0.000E+000   2.498E-004   9.952E+002   9.996E-001   2.893E+002   3.543E-015   0.000E+000   9.346E-003   1.854E-001   5.203E-011   9.728E-012   1.499E-011   5.863E-012   3.853E-011   3.887E-015   1.948E-001   1.290E-010   2.587E-014   6.104E-001
        1600  1.600E-006  -1.588E+002   0.000E+000   0.000E+000   2.507E-004   9.975E+002   9.996E-001   2.893E+002   8.858E-016   0.000E+000   9.346E-003   1.854E-001   5.656E-011   1.090E-011   1.804E-011   6.575E-012   4.303E-011   4.631E-015   1.948E-001   1.431E-010   2.926E-014   6.104E-001
        1700  1.700E-006  -1.475E+002   0.000E+000   0.000E+000   2.515E-004   1.000E+003   9.995E-001   2.893E+002   4.606E-015   0.000E+000   9.346E-003   1.854E-001   6.112E-011   1.210E-011   2.146E-011   7.322E-012   4.788E-011   5.480E-015   1.948E-001   1.581E-010   3.278E-014   6.104E-001
        1800  1.800E-006  -1.426E+002   0.000E+000   0.000E+000   2.523E-004   1.003E+003   9.994E-001   2.893E+002  -1.772E-015   0.000E+000   9.346E-003   1.854E-001   6.574E-011   1.334E-011   2.525E-011   8.105E-012   5.306E-011   6.438E-015   1.948E-001   1.738E-010   3.650E-014   6.104E-001
        1900  1.900E-006  -1.396E+002   0.000E+000   0.000E+000   2.531E-004   1.005E+003   9.995E-001   2.893E+002  -1.063E-015   0.000E+000   9.346E-003   1.854E-001   7.040E-011   1.462E-011   2.943E-011   8.922E-012   5.859E-011   7.511E-015   1.948E-001   1.902E-010   4.040E-014   6.104E-001
        2000  2.000E-006  -1.380E+002   0.000E+000   0.000E+000   2.538E-004   1.008E+003   9.996E-001   2.893E+002  -9.567E-015   0.000E+000   9.346E-003   1.854E-001   7.510E-011   1.594E-011   3.400E-011   9.775E-012   6.446E-011   8.707E-015   1.948E-001   2.074E-010   4.447E-014   6.104E-001
        2100  2.100E-006  -1.289E+002   0.000E+000   0.000E+000   2.545E-004   1.010E+003   9.993E-001   2.893E+002  -7.795E-015   0.000E+000   9.346E-003   1.854E-001   7.986E-011   1.730E-011   3.899E-011   1.066E-011   7.067E-011   1.003E-014   1.948E-001   2.253E-010   4.871E-014   6.104E-001
        2200  2.200E-006  -9.197E+001   0.000E+000   0.000E+000   2.551E-004   1.012E+003   9.996E-001   2.893E+002  -7.441E-015   0.000E+000   9.346E-003   1.854E-001   8.468E-011   1.871E-011   4.440E-011   1.158E-011   7.724E-011   1.149E-014   1.948E-001   2.439E-010   5.311E-014   6.104E-001
        2300  2.300E-006  -1.118E+002   0.000E+000   0.000E+000   2.557E-004   1.014E+003   9.997E-001   2.893E+002  -7.264E-015   0.000E+000   9.346E-003   1.854E-001   8.955E-011   2.015E-011   5.023E-011   1.253E-011   8.414E-011   1.309E-014   1.948E-001   2.632E-010   5.767E-014   6.104E-001
        2400  2.400E-006  -1.181E+002   0.000E+000   0.000E+000   2.563E-004   1.016E+003   9.997E-001   2.893E+002   0.000E+000   0.000E+000   9.346E-003   1.854E-001   9.448E-011   2.163E-011   5.651E-011   1.352E-011   9.141E-011   1.483E-014   1.948E-001   2.831E-010   6.234E-014   6.104E-001
        2500  2.500E-006  -1.119E+002   0.000E+000   0.000E+000   2.568E-004   1.018E+003   9.997E-001   2.893E+002  -6.378E-015   0.000E+000   9.346E-003   1.854E-001   9.948E-011   2.316E-011   6.323E-011   1.454E-011   9.902E-011   1.672E-014   1.948E-001   3.036E-010   6.713E-014   6.104E-001
        2600  2.600E-006  -1.134E+002   0.000E+000   0.000E+000   2.573E-004   1.019E+003   9.997E-001   2.893E+002   3.543E-016   0.000E+000   9.346E-003   1.854E-001   1.045E-010   2.472E-011   7.042E-011   1.559E-011   1.070E-010   1.878E-014   1.948E-001   3.247E-010   7.207E-014   6.104E-001
        2700  2.700E-006  -1.225E+002   0.000E+000   0.000E+000   2.578E-004   1.021E+003   9.997E-001   2.893E+002  -5.315E-016   0.000E+000   9.346E-003   1.854E-001   1.097E-010   2.633E-011   7.808E-011   1.667E-011   1.153E-010   2.100E-014   1.948E-001   3.465E-010   7.717E-014   6.104E-001
        2800  2.800E-006  -1.111E+002   0.000E+000   0.000E+000   2.582E-004   1.022E+003   9.997E-001   2.893E+002  -1.949E-015   0.000E+000   9.346E-003   1.854E-001   1.149E-010   2.798E-011   8.622E-011   1.778E-011   1.241E-010   2.339E-014   1.948E-001   3.688E-010   8.242E-014   6.104E-001
